v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,4446,0x140d740,61,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,3,4451,0x140d780,12,GlobalDecodeURI
code-creation,Builtin,3,4455,0x140d7a0,12,GlobalDecodeURIComponent
code-creation,Builtin,3,4459,0x140d7c0,12,GlobalEncodeURI
code-creation,Builtin,3,4464,0x140d7e0,12,GlobalEncodeURIComponent
code-creation,Builtin,3,4468,0x140d800,12,GlobalEscape
code-creation,Builtin,3,4473,0x140d820,12,GlobalUnescape
code-creation,Builtin,3,4476,0x140d840,12,GlobalEval
code-creation,Builtin,3,4480,0x140d860,145,GlobalIsFinite
code-creation,Builtin,3,4484,0x140d900,137,GlobalIsNaN
code-creation,Builtin,3,4489,0x140d9a0,12,JsonParse
code-creation,Builtin,3,4494,0x140d9c0,12,JsonStringify
code-creation,Builtin,3,4500,0x140d9e0,3737,LoadIC
code-creation,Builtin,3,4505,0x140e880,3213,LoadIC_Megamorphic
code-creation,Builtin,3,4511,0x140f520,3265,LoadIC_Noninlined
code-creation,Builtin,3,4519,0x1410200,52,LoadICTrampoline
code-creation,Builtin,3,4524,0x1410240,52,LoadICTrampoline_Megamorphic
code-creation,Builtin,3,4529,0x1410280,6972,KeyedLoadIC
code-creation,Builtin,3,4533,0x1411dc0,12112,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,4537,0x1414d20,52,KeyedLoadICTrampoline
code-creation,Builtin,3,4541,0x1414d60,52,KeyedLoadICTrampoline_Megamorphic
code-creation,Builtin,3,4546,0x1414da0,5472,StoreGlobalIC
